Name1,Name2,Name3,Address1,Address2,Address3,City,State,ZIP_Code,Contact,Keys
HEST ALABAMA MENTAL HEALTH CENTER,SUBSTANCE ABUSE PROGRAM,,1215 SOUTH HALNUT AVENUE,,,DEMOPOLIS,AL,36732,(205)289-2410,AD/AM/CU/EA/DW/TX/CI/PV/
THE HAVEN,,,831 JOHN D ODOM ROAD,,,DOTHAN,AL,36303,(205)794-0970,AD/DT/RR/AM/W/Y/A/B/H/AI/HV/PI/CU/IV/PG/EA/DW/TX/PV/
BALDHIN COUNTY MH/MR CENTER,ALCOHOL PROGRAM,,372 SOUTH GREENO ROAD,,,FAIRHOPE,AL,36532,(205)928-2871,AD/AM/W/Y/A/B/HV/CU/IV/PG/TX/CI/PV/
CHEROKEE/ETOHAH/DE KALB,FELLOHSHIP HOUSE,,312 SOUTH 5TH STREET,,,GADSDEN,AL,35901,(205)546-8247,AD/RR/B/CU/IV/TX/
CHEROKEE/ETOHAH/DE KALB,MENTAL HEALTH CENTER SUBST ABUSE SERVS,,901 GOODYEAR AVENUE,,,GADSDEN,AL,35903,(205)492-7800,AD/AM/H/HV/TX/CI/PV/
CHEROKEE/ETOHAH/DE KALB,SERENITY HOME,,118 SOUTH 10TH STREET,,,GADSDEN,AL,35901,(205)547-1577,AD/OT/RR/TX/
SUBSTAl4CE ABUSE COUNCIL OF,ETOIAH COUNTY,,943 3RD AVENUE,,,GADSDEN,AL,35901,(055)7-6903,/AD/DW/PV/
THE BRIDGE INC,,,LAY SPRINGS ROAD,ROUTE 3,,GADSDEN,AL,35901,(205)546-6324,AD/RR/AM/Y/A/HV/IV/EA/TX/PV/
MARSHALL JACKSON MENTAL HEALTH CENTER,SUBSTANCE ABUSE TREATMENT PROGRAM,,2409 HOMER CLAYTON DRIVE,,,GUNTERSVILLE,AL,35976,(205)582-3203,AD/RR/AM/H/IV/EA/DW/TX/CI/PV/
MADISON COUNTY MENTAL HEALTH CENTER,NEH HORIZONS RECOVERY CENTER,,806 GALLATIN STREET,,,HUNTSVILLE,AL,35801,(205)532-l+l,AD/AM/W/Y/B/CU/IV/PG/EA/TX/PV/
PARKSIDE LODGE OF BIRMINGHAM,HUNTSVILLE SERVICES,,139-A MCMURTRIE DRIVE,,,HUNTSVILLE,AL,35806,(205)430-0868,AD/AM/TX/CI/PV/
THE PATHFINDER INC,RECOVERY HOME FOR MALE ALCOHOLICS,,3104 IVY AVENUE SH,,,HUNTSVILLE,AL,35805,(205)534-7644,AD/RR/TX/PV/
NORTHHEST ALABAMA MENTAL HEALTH CENTER,SUBSTANCE ABUSE PROGRAM,,1100 7TH AVENUE,,,JASPER,AL,35501,(205)387-0541,AD/AM/IV/EA/TX/CI/PV/OT/
CRENSHAH COUNTY HOSPITAL,ALCOHOLISM AND DRUG ABUSE TRT UNIT,,SOUTH FOREST AVENUE,,,LUVERNE,AL,36049,(205)335-5763,AD/DT/RR/EA/TX/CI/PV/
DAUPHIN HAY LODGE TREATMENT SERVICES,HALFHAY HOUSE ALCOHOLISM PROGRAM,,1009 DAUPHIN STREET,,,MOBILE,AL,36604,(205)438-4729,AD/RR/IV/TX/PV/
DAUPHIN HAY LODGE TREATMENT SERVICES,QUARTERHAY ALCOHOLISM PROGRAM,,1009 DAUPHIN STREET,,,MOBILE,AL,36604,(205)438-4729,AD/RR/IV/TX/
DRUG EDUCATION COUNCIL INC,,,954 GOVERNMENT STREET,,,MOBILE,AL,36604,(205)433-5456,AD/PV/
LAKESIDE CENTER,,,733 IEST LAKESIDE DRIVE,,,MOBILE,AL,36693,(205)666-1928,AD/AM/Y/TX/CI/PV/
LIBRA HOUSE,TEENLINE,,1155 GOVERNMENT STREET,,,MOBILE,AL,36604,(054)3-7677,AD/CI/PV/
MOBILE MENTAL HEALTH CENTER INC,GATEHAY SUBSTANCE ABUSE CENTER,,2400 GORDON SMITH DRIVE,,,MOBILE,AL,36617,(054)3-4423,DA/AM/W/B/HV/IV/PG/TX/MM/
MOBILE MENTAL HEALTH CENTER INC,SUBSTANCE ABUSE SERVICES,,2400 GORDON SMITH DRIVE,,,MOBILE,AL,36617,(205)473-4423,AD/RR/AM/IV/EA/TX/PV/MM/
USA DOCTORS HOSPITAL,RENAISSANCE SUBSTANCE ABUSE PROGRAM,,1700 CENTER STREET,,,HOBILE,AL,36604,(205)438-4684,AD/RR/W/A/B/H/AI/HV/PI/CU/IV/DW/TX/CI/PV/
ALF COX FELLOHSHIP HOUSE,,,529 SAYRE STREET,,,MONTGOMERY,AL,36104,(205)263-7895,AD/RR/TX/
BAPTIST MEDICAL CENTER,ALCOHOL AND DRUG PROGRAM,,2105 EAST SOUTH BOULEVARD,,,MONTGOMERY,AL,36116,(205)284-1224,AD/OT/RR/W/B/HV/CU/IV/EA/TX/PV/OT/
CADEl CENTER,,,2205 MCCARTER AVENUE,,,MONTGOMERY,AL,36107,(205)834-4527,AD/RR/EA/TX/
CARE HOUSE,,,1809 PARK PLACE,,,MONTGOMERY,AL,36106,(205)265-4544,AD/EA/DW/CI/
COUNCIL ON SUBSTANCE ABUSE/NCADD,,,3005 FAIRlEST PLACE,,,MONTGOMERY,AL,36108,(205)262-1629,AD/PV/
FEDERAL PRISON CAMP,DRUG ABUSE PROGRAM,MAXH ELL AIR FORCE BASE,,,,MONTGOMERY,AL,36112,(205)834-3681TEX115,AD/AM/EA/TX/PV/
HOPE HAVEN,,,1503 SOUTH COURT STREET,,,MONTGOMERY,AL,36104,(205)269-2150,AD/AM/EA/TX/
JACKSON HOSPITAL,PSYCHIATRIC UNIT,,1235 FOREST AVENUE,,,MONTGOMERY,AL,36194,(205)293-8067,AD/PV/
LIGHTHOUSE COUNSELING CENTER INC,INTENSIVE OUTPATIENT UNIT,,830 SOUTH COURT STREET,,,MONTGOMERY,AL,36104,(205)264-4555,AD/AM/Y/A/HV/TX/CI/
FIRST STEP,SUBSTANCE ABUSE TREATMENT,,SMILEY STREET,,,RED LEVEL,AL,36474,(205)469-5347,AD/RR/AM/IV/DW/TX/CI/PV/
RANDOLPH COUNTY HOSPITAL,SELF DISCOVERY PROGRAM,,,,,ROANOKE,AL,36274,(205)863-4111,AD/DT/RR/W/A/B/CU/IV/TX/OT/
SUNRISE LODGE,SUBSTANCE ABUSE TREATMENT CENTER,,ROUTE 9,,,RUSSELLVILLE,AL,35653,(205)332-0078,AD/RR/IV/TX/
CAHABA CENTER FOR MH/MR,SUBSTANCE ABUSE SERVICES,,1017 MEDICAL CENTER PARKHAY,,,SELMA,AL,36701,(205)875-2100,AD/AM/W/Y/A/B/HV/PI/EA/DW/TX/CI/PV/
HELEN KELLER HOSPITAL,RESTORE PROGRAM,,1300 SOUTH MONTGOMERY AVENUE,,,SHEFFIELD,AL,35660,(205)386-4597,AD/DT/RR/AM/IV/EA/TX/
CHEAHA MENTAL HEALTH CENTER,ADAPT,,1625 OLD BIRMINGHAM HIGHHAY,,,SYLACAUGA,AL,35150,(205)245-2201,AD/RR/B/CU/IV/PG/EA/DW/TX/PV/
INDIAN RIVERS MENTAL HEALTH CENTER,ALCOHOL AND DRUG ABUSE PROGRAM,,1915 6TH STREET,,,TUSCALOOSA,AL,35403,(205)345-1600,AD/AM/W/Y/A/B/HV/CU/PG/TX/
PHOENIX HOUSES INC,MALE AtlD FEMALE,,2008 UNIVERSITY BOULEVARD,,,TUSCALOOSA,AL,35401,(205)758-3867,AD/RR/TX/
VETERANS AFFAIRS MEDICAL CENTER,ADDICTIONS TREATMENT UNIT,,3701 LOOP ROAD EAST,,,TUSCALOOSA,AL,35404,(205)553-3760TEX2690,AD/OT/RR/W/Y/A/B/HV/CU/IV/EA/TX/PV/
PARKSIDE LODGE OF BIRMINGHAM,INPATIENT RESIDENTIAL SERVICES,,1189 ALLBRITTON ROAD,,,HARRIOR,AL,35180,(205)647-1945,AD/RR/Y/CU/TX/
ALTERNATIVES INC,,,,,,HETUMPKA,AL,36092,(205)567-7083,AD/AM/W/Y/A/CU/IV/PG/TX/PV/
CENTRAL ALABAMA MEDICAL CENTER,SELF DISCOVERY INC,,1201 COMPANY STREET,,,HETUMPKA,AL,36092,(205)567-4311TEX153,AD/DT/RR/IV/TX/
AKEELA HOUSE INC,,,2804 BERING STREET,,,ANCHORAGE,AK,99503,(907)561-5266,AD/RR/TX/PV/
ALASKA COUNCIL ON PREVENTION OF,ALCOHOL AND DRUG ABUSE INC,,7521 OLD SEHARD HIGHHAY,SUITE 8,,ANCHORAGE,AK,99518,(907)349-6602,AD/PV/OT/
ALASKA COURT SYSTEM,ANCHORAGE AK ALC SAFETY ACTION PROGRAM,,941 NEST 4TH AVENUE,3RD FLOOR,,ANCHORAGE,AK,99501,(907)26+-0735,AD/DW/PV/
ALASKA HUMAN SERVICES,OUTPT ALC/SUBST ABUSE TREATMENT PROG,,4050 LAKE OTIS PARKHAY,SUITE 107,,ANCHORAGE,AK,99508,(907)561-4535,AD/AM/DW/TX/CI/PV/
ALASKA NATIVE ALCOHOLISM RECOVERY CTR,,,120 NORTH HOYT STREET,,,ANCHORAGE,AK,99508,(907)278-2627,AL/RR/AI/TX/
ALASKA NATIVE HEALTH BOARD,,,1345 RUDAKOF CIRCLE,ROOM 206,,ANCHORAGE,AK,99501,(907)337-0028,AD/PV/
ALEUTIAN PRIBILOF ISLANDS ASSOCIATION,,,401 EAST FIREHEED LANE,SUITE 201,,ANCHORAGE,AK,99503,(907)276-2700,AD/AM/Y/AI/PI/PG/TX/CI/PV/OT/
CENTER FOR ALC AND ADDICTION STUDIES,,,3211 PROVIDENCE AVENUE,UAA,,ANCHORAGE,AK,99508,(907)786-1801,AD/PV/
CHARTER NORTH HOSPITAL AND COUNSELING CENTERS,,,2530 DEBARR ROAD,,,ANCHORAGE,AK,99504,(907)338-7575,AD/RR/AM/Y/IV/EA/DW/TX/CI/PV/
ELMENDORF AFB SOCIAL ACTIONS,SUBSTANCE ABUSE OFFICE,,2900 9TH STREET,ELMENDORF AIR FORCE BASE,,ANCHORAGE,AK,99506,(907)552-2115,AD/EA/DW/PV/
HUMANA HOSPITAL/ALASKA,ADDICTIVE BEHAVIOR CENTER,,2801 DE BARR ROAD,,,ANCHORAGE,AK,99508,(907)264-1622,AD/RR/AM/IV/EA/DW/TX/CI/PV/
NARCOTIC DRUG TREATMENT CENTER INC,CENTER FOR DRUG PROBLEMS,,520 EAST 4TH AVENUE,SUITE 102,,ANCHORAGE,AK,99501,(907)276-6430,AD/AM/W/B/H/AI/HV/CU/IV/PG/CI/PV/MM/
NEH DAWN,ALASKA HOMENS RESOURCE CENTER,,111 HEST 9TH AVENUE,,,ANCHORAGE,AK,99501,(907)276-0528,AD/RR/H/PG/DW/TX/
NORTH PACIFIC RIM,,,3300 C STREET,,,ANCHORAGE,AK,99501,(907)562-4155,AD/PV/
NORTH STAR ADOLESCENT HOSPITAL,SUBSTANCE ABUSE SERVICES,,1650 SOUTH BRAGAH STREET,,,ANCHORAGE,AK,99508,(907)277-1522,AD/DT/AI/IV/EA/DW/TX/CI/PV/
PROVIDENCE HOSPITAL,BREAKTHROUGH,,3200 PROVIDENCE DRIVE,,,ANCHORAGE,AK,99508,(907)261-3003,AD/DT/RR/AM/IV/DW/TX/CI/
RURAL CAP INC,ALCOHOL AND DRUG ABUSE PREVENTION,,731 EAST 8TH STREET,,,ANCHORAGE,AK,99501,(907)279-2511,AD/PV/
SALVATION ARMY,CLITHEROE CENTER,POINT HORONZOF,,,,ANCHORAGE,AK,99502,(907)2+3-1181,AD/DT/RR/AM/H/AI/HV/PI/CU/PG/DW/TX/CI/PV/
VOLUNTEERS OF AMERICA OF ALASKA INC,,,911 WEST 8TH AVENUE,SUITE 100,,ANCHORAGE,AK,99501,(907)279-9634,AD/RR/AM/Y/IV/TX/PV/
KUSKOKHIM NATIVE ASSOCIATION,COMMUNITY COUNSELING PROGRAM,,,,,ANIAK,AK,99557,(907)675-4445,AD/AM/W/Y/AI/DW/TX/CI/PV/
NORTH SLOPE BOROUGH HEALTH DEPARTMENT,SUBSTANCE ABUSE SERVICES,,,,,BARROW,AK,99723,(907)852-4673,AD/RR/AI/PG/EA/DW/TX/CI/PV/
PHILLIPS ALCOHOLISM TREATMENT CENTER,,,,,,BETHEL,AK,99559,(907)543-2129,AD/RR/AM/W/B/H/AI/PG/TX/CI/PV/
COOPER RIVER MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES,,,MILE 105 RICHARDSON HIGHWAY,,,COPPER CENTER,AK,99573,(907)822-5241,AD/AM/AI/TX/CI/PV/
CORDOVA COMMUNITY HOSPITAL,MENTAL HEALTH AND ALCOHOL CLINIC,,602 CHASE AVENUE,,,CORDOVA,AK,99574,(907)42-8300,AD/AM/Y/AI/EA/DW/TX/CI/PV/
COMMUNITIES ORGANIZED FOR,HEALTH OPTIONS ICOHOI,,,,,CRAIG,AK,99921,(907)826-3662,AD/AM/TX/CI/PV/
BRISTOL BAY AREA HEALTH CORP,ALCOHOL/DRUG ABUSE PROGRAM,,,,,DILLINGHAM,AK,99576,(907)842-5266,AD/EA/PV/
CITY OF DILLINGHAM,PUBLIC INEBRIATE PROGRAM,,,,,DILLINGHAM,AK,99576,(907)842-5354,AD/OT/TX/CI/PV/
ALASKA COUNSELING,,,232 2ND STREET,GRAEHL,,FAIRBANKS,AK,99701,(907)451-8160,AD/AM/EA/DW/TX/PV/
FAIRBANKS MEMORIAL HOSPITAL,FAMILY RECOVERY CENTER,,1650 COWLES STREET,,,FAIRBANKS,AK,99701,(907)452-8047,AD/AM/W/Y/A/B/AI/HV/PI/CU/PG/EA/TX/
FAIRBANKS NATIVE ASSOCIATION INC,REG CTR FOR ALC AND OTHER ADDICTIONS,,3100 SOUTH CUSHMAN STREET,,,FAIRBANKS,AK,99701,(907)452-6251,AD/DT/RR/AM/W/Y/A/B/H/AI/HV/PI/IV/PG/EA/DW/TX/CI/PV/
LAKESIDE RECOVERY CTR INC/FAIRBANKS,,,1001 NOBLE STREET,SUITE 240,,FAIRBANKS,AK,99701,(907)456-4526,AD/AM/W/Y/AI/CU/TX/CI/PV/
SALVATION ARMY,DRUG ABUSE TREATMENT PROGRAM,,117 FIRST AVENUE,,,FAIRBANKS,AK,99707,(907)452-5005,AD/AM/A/AI/HV/IV/TX/MM/
TANANA CHIEFS CONFERENCE INC,,,1302 21ST AVENUE,,,FAIRBANKS,AK,99701,(907)452-2446,AD/AM/AI/TX/PV/OT/
FORT HAINHRIGHT ALCOHOL AND DRUG ABUSE PREV CONTROL PROG IADAPCPJ,,APVR/FH/PA/ADA,BUILDING 3401,,,FORT WAINWRIGHT,AK,99703,(907)353-7203,AD/DT/AM/EA/DW/TX/CI/PV/
TANANA CHIEFS CONFERENCE INC,YUKON FLATS CARE,,,,,FORT YUKON,AK,99740,(907)662-2526,AD/RR/AI/TX/CI/PV/
YUKON KOYUKUK MENlAL HEALTH PROGRAM,ALCOHOL AND DRUG ABUSE SERVICES,,,,,GALENA,AK,99741,(907)656-1617,AD/AM/W/Y/B/H/AI/PI/CU/PG/EA/DW/TX/CI/PV/
CITY AND BOROUGH OF JUNEAU,HEALTH AND SOCIAL SERVS CHEM DEP DIV,,3406 GLACIER HIGHWAY,,,JUNEAU,AK,99801,(907)463-3008,AD/DT/RR/AI/HV/PI/IV/DW/TX/CI/
GASTINEAU MANOR RECOVERY HOME,,,5597 AISEK STREET,,,JUNEAU,AK,99801,(907)780-4338,AD/RR/H/AI/PI/TX/
LAKESIDE RECOVERY CTR INC/JUNEAU,,,3412 GLACIER HIGHWAY,,,JUNEAU,AK,99802,(907)780-4948,AD/AM/W/Y/A/B/H/AI/HV/CU/PG/EA/DW/TX/
NATIONAL COUNCIL ON ALCOHOLISM/JUNEAU,,,211 4TH STREET,SUITE 102,,JUNEAU,AK,99801,(907)463-3755,AD/AM/AI/EA/DW/TX/CI/PV/
COOK INLET COUNCIL ON,ALCOHOL AND DRUG ABUSE,,255 HILLOH SlREET,,,KENAI,AK,99611,(907)283-3658,AD/AM/IV/EA/DW/TX/PV/
GATEWAY CENTER FOR HUMAN SERVICES,ALCOHOL AND DRUG ABUSE DIVISION,,3050 5TH AVENUE,,,KETCHIKAN,AK,99901,(907)225-4154,AD/OT/RR/AM/H/HV/PI/DW/TX/PV/
KETCHIKAN YOUTH SERVICES,,,,,,KETCHIKAN,AK,99901,(907)225-2540,AD/AM/W/Y/B/H/AI/TX/PV/
LAKESIDE RECOVERY CTR INC/KETCHIKAN,,,1621 TONGASS AVENUE,SUITE 203,,KETCHIKAN,AK,99901,(907)225-6920,AD/RR/AM/W/Y/B/H/AI/HV/PI/CU/PG/DW/TX/PV/
KODIAK AREA NATIVE ASSOCIATION !KANAI,SUBSTANCE ABUSE OUTPATIENT PROGRAM,,402 CENTER AVENUE,,,KODIAK,AK,99615,(907)486-5725,AD/AM/AI/TX/PV/
KODIAK COUNCIL ON ALCOHOLISM INC,,,,,,KODIAK,AK,99615,(907)486-3535,AD/RR/AM/W/Y/A/B/H/AI/HV/PI/CU/IV/PG/EA/DW/TX/CI/PV/
SC ALCOHOL TRAINING,SAINT HERMANS SEMINARY,,14 MISSION ROAD,ROOM 17,,KODIAK,AK,99615,(907)486-3726,AD/PV/OT/
FOUR RIVERS COUNSELING SERVICES,LYMAN HOUSE,,,,,MCGRATH,AK,99627,(907)524-3781,AD/AM/W/Y/B/H/AI/PI/IV/EA/TX/CI/PV/OT/
METLAKATLA INDIAN COMMUNITY,,,,,,METLAKATLA,AK,99926,(907)886-6601,AD/EA/CI/PV/
NORTON SOUND HEALTH CORPORATION,NORTHERN LIGHTS RECOVERY CENTER,,5TH AVENUE AND DIVISION STREETS,COMMUNITY HEALTH SERVICES BUILDING,,NOHE,AK,99762,(907)443-3344,AD/RR/AI/DW/TX/PV/
TURNING POINT,,,,,,NOHE,AK,99762,(907)443-5179,AD/DT/AM/AI/PI/IV/TX/
PETERSBURG COUNCIL ON,ALCOHOLISM AND OTHER DRUG ABUSE,,102 A HAUGEN DRIVE,,,PETERSBURG,AK,99833,(907)772-3552,AD/AM/DW/TX/PV/
PETERSBURG YOUTH PROGRAM,,,102 HAUGEN DRIVE,,,PETERSBURG,AK,99833,(907)772-4422,AD/PV/
SOUTH KACHEMAK ALCOHOLISM PROGRAM INC,,,274 MAIN STREET,,,SELDOVIA,AK,99663,(907)23l1-7807,AD/AM/W/Y/AI/HV/CU/PG/DW/TX/PV/
SEHARD LIFE ACTION COUNCIL,,,504 ADAMS STREET,,,SEHARD,AK,99664,(907)224-5257,AD/AM/Y/AI/PI/DW/TX/CI/PV/
SITKA TEEN RESOURCE CENTER,,,201 KATLIAN STREET,,,SITKA,AK,99835,(907)747-3500,AD/DW/PV/
tOUTHEAST ALASKA REGIONAL HEAL TH CORP,RURAL SUBSTANCE ABUSE PROGRAM,,222 TONGASS STREFT,,,SITKA,AK,99835,(907)966-2lt51,AD/RR/AM/AI/DW/TX/PV/
CENTRAL PENN GENERAL HOSPITAL,FAMILY RECOVERY CENTER,,250 HOSPITAL CIRCLE,,,SOLDOTNA,AK,99669,(907)262-4404TEX315,AD/DT/RR/H/CU/TX/CI/PV/
UPPER TANANA ALCOHOL PROGRAM,,,,,,TOK,AK,99780,(907)883-5185,AD/AM/Y/AI/DW/TX/CI/PV/
VALDEZ COUNSELING CENTER,ALCOHOL AND DRUG ABUSE SERVICES,,,,,VALDEZ,AK,99686,(907)835-2838,AD/AM/W/Y/AI/PI/CU/EA/DW/TX/CI/PV/
ALASKA ADDICTION REHAB SERVICES INC,NUGENS RANCH,,3701 PALMER-HASILLA HIGHHAY,,,HASILLA,AK,99687,(907)376-4534,AD/RR/AI/PI/TX/
MATANUSKA/SUSITNA,COUNCIL ON ALCOHOLISM,,,,,HASILLA,AK,99687,(907)376-4000,AD/AM/DW/TX/CI/PV/
HRANGELL COUNCIL ON ALCOHOLISM AND RELATED DRUG DEPENDENCIES (HCA/DI,,,406 ALASKA AVENUE,,,HRANGELL,AK,99929,(907)874-3338,AD/AM/W/Y/AI/CU/PG/DW/TX/CI/PV/
PORTABLE PRACTICAL EDUC PREPARATION,IPPEPl/ALCOHOLISM TREATMENT UNIT,,111 LA MINA AVENUE,PIMA COUtlTY BUILDING ROOM 6,,AJO,AZ,85321,(602)287-5372,AL/AM/W/Y/B/H/AI/PI/CU/PG/DW/TX/PV/
PGBHA SUPERSTITION MOUNTAIN,MENTAL HEALTH ClR/SUBST ABUSE SERVICES,,564 NORTH IDAHO ROAD,,,APACHE JUNCTION,AZ,85278,(602)983-0571,AD/AM/W/Y/PI/DW/TX/PV/
COCHISE COMMUNITY COUNSELING SERVICES,BISBEE OUTPATIENT,,1100 HIGHHAY 92,EL RANCHO PLAZA ROOM 8,,BISBEE,AZ,85603,(602)432-5484,AD/AM/H/CU/TX/
MOHAVE MENTAL HEALTH CLINIC,OUTPATIENT AND DAY TREATMENT,,2135 HIGHHAY 95,SUITES 125 AND 241,,BULLHEAD CITY,AZ,86442,(602)758-5907,AD/AM/IV/EA/DW/TX/CI/PV/
VERDE VALLEY GUIDANCE CLINIC INC,,,"7TH AND FINNEY f""LAT ROAD",,,CAMP VERDE,AZ,86322,(602)567-4026,AD/AM/IV/EA/DW/TX/CI/PV/
PGBHA A Y SMITH AND ASSOCIATES,,,222 EAST COTTONHOOD LANE,,,CASA GRANDE,AZ,85222,(602)836-9189,AD/PV/
PGBHA BEHAVIORAL HEALTH AGENCY OF,CENTRAL AZ IBHACAJ/ADMINISTRATIVE UNIT,,120 HEST MAIN STREET,,,CASA GRANDE,AZ,85222,(602)836-1688,AD/OT/
PGBHA BHACA CASA GRANDE OUTPATIENT,,,120 NEST MAIN STREET,,,CASA GRANDE,AZ,85222,(602)836-1688,AD/AM/Y/EA/DW/TX/CI/PV/
PGBHA LIGHTHOUSE YOUTH CENTER,,,509 EAST FLORENCF BOULEVARD,,,CASA GRANDE,AZ,85222,(602)426-9039,AD/PV/
NAVAJO NATION BEHAVIORAL HEALTH SERVS,NAHATA DZIIL OFFICE,,,,,CHAMBERS,AZ,86502,(602)688-2420,AL/AM/AI/TX/CI/PV/
CENTRO DE AMISTAD INC,CHANDLER OFFICE,,108 EAST BOSTON STREET,,,CHANDLER,AZ,85224,(602)839-2926,AD/AM/W/Y/H/AI/DW/TX/CI/PV/
SUNBURST TREATMENT SERVICES INC,,,1300 HEST QUEEN CREEK ROAD,,,CHANDLER,AZ,85248,(602)899-3113,AD/OT/RR/AM/W/A/B/H/AI/HV/CU/IV/PG/TX/CI/PV/
VALLEY HOPE ALCOHOLISM TREATMENT CTR,,,501 NORTH HASHINGTON STREET,,,CHANDLER,AZ,85225,(602)899-3335,AD/DT/RR/W/Y/B/H/CU/IV/EA/TX/PV/
